sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_gra:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	
20	9.19992584151274	1.78018894502403	0.947094896400452	1.63918365718053	1.40257105202561	0.634743368081044	1.31459352531386	0.68762772716277	0.630678190422135	1.96452144308728	1.29195700542228	1.73331569877279	1.06884420922509	1.95971297345133	0.988453324516427	1.54074429115128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.449089641061708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.204858459046712	0	0	
21	9.19990091733671	1.64716905936199	0.673296111529787	1.58428650509306	1.52434363218634	1.10821885377419	1.16356732934304	0.804121321724868	0.396758679269496	1.02023222533863	0.913718280857874	0.679638073278494	1.19112576331942	0.855950620774483	1.66386491092965	1.29879922580977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0809088041205715	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.307218251448704	0	0	
22	9.19996382412579	2.12540286532659	0.990960489981147	1.55170257699977	1.37894883968577	1.30449318496195	0.9081465363789	0.726942399380048	0.704752647222782	1.11331087826108	4.3232551444738	1.28937427703298	1.54518880522351	0.911801643094873	1.87950399863555	1.69298831927206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.215415841404339	0	0	0.338343595776915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.232439923505206	0	0	
23	9.1999385472772	1.9325629366998	0.907519831046988	1.48698572267482	1.15192811256485	1.30595125712155	0.992055466379141	0.897708446352183	0.725066341391583	0.450527252996337	2.28786350686526	0.961909735265149	1.02032878937939	1.07589439859856	0.766187136214302	1.55019677086191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10471577583435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0772460332638639	0.317511505641528	0	0	
24	9.1999184108032	1.90598568719927	0.534204475244471	1.64387795773677	1.35964686742192	3.19394061639984	1.13000587505599	1.39745776369675	1.03025628250041	0.779675255663462	1.61013957439468	1.77034422217551	0.877918708124115	1.33459671229956	0.56403927560256	0.931895898588595	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.576229554095969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	9.19992613313158	1.95856661752563	0.581215390884759	1.90411867233028	1.69455918790614	0.817401018396924	1.08920515172024	0.903797035385156	0.163268659402893	0.981137518407031	0.458893284984905	0.688484098813994	0.358563896200117	0.76394857003608	0.349003945801424	1.6197417115602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236345115505516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	9.19991916610686	2.12529870182469	0.309207555104884	1.74318330833231	1.31741548102437	5.30327098343718	1.09751000106146	1.64531775772509	2.73850706617983	0.443826855752727	2.20530871554342	1.40845931421289	1.67252355998212	0.746088331748811	0.820625178482071	2.25457773081647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.681270615348583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00154702713368812	0	0	0	0	0	0	0	0	0.142039899413711	0	0	0	0	0	0	0	0	
27	9.19998084300279	2.17669458857523	0.815322603713655	1.18781609700136	1.03232585326646	2.06672279655268	0.976090073708714	0.779424109610645	0.349662174055482	0.934785299439711	2.93170484771496	0.829193413741556	0.578494803503381	0.436566631871738	0.803252945771467	1.03150885115858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.411603393374364	0	0	0	0	0	0	0.149336574973262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	9.19991238756417	1.97564028159687	0.678974063948784	1.74825374418363	1.48284376131176	2.527193662344	1.05871005317595	1.14322590385014	0.869841791612591	3.47829461021216	1.94724803062972	4.45425608028407	1.5365594969065	1.98366065597835	0.627113615854843	1.71540873505242	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.382088910730576	0	0	0	0	0.0494207454176303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	9.19990645816181	2.13189566701044	0.940744314983162	1.93125753528057	1.63488452430065	1.03797973543835	0.979112764351602	0.580764575287212	1.31760519376909	0.507474414160335	1.68489461296926	0.618824258148409	0.909446397803164	1.21952842987284	0.243425773981241	1.46505251753112	0	0	0	0	0	0	0	0	0	0	0	0	0.11868366118703	0	0	0	0	0.186754852005818	0	0	0	0	0	0	0.148336641782043	0	0	0	0	0.580686418882966	0	0	0	0	0.0102386885910702	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
