sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
20	9.19991343344759	1.75378158313033	1.58335131634724	1.17925651253105	0.366532560439503	2.3597570455251	1.12815488802027	1.32833062885534	0.968312732923719	1.26066572613712	1.53790528965054	3.08118360203899	1.03388479608523	0.889547451316599	0.991347916205685	1.76818059210738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	9.19997283451701	1.88632862015806	1.65470520935661	1.62358859299314	0.19728979374608	0.972536037853428	1.46375681426334	2.05871523342969	1.55711770051748	0.766718798797372	0.96385836388134	3.85153293066128	2.09362817012315	0.979948727686837	1.43047261812773	1.9618831416204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173152678377235	0	0	0	0	0	0	0	0	0	0.0725760129787934	
22	9.19996748699536	1.73011861465993	1.52475288378795	0.806682317306388	0.215813705964328	0.827528540710648	1.26973483967157	4.02048581243153	1.3328158762266	0.726005961107363	1.58966448945738	2.29566074923723	2.05176875974172	1.7699879702297	1.33279493169909	1.02398098947993	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.571305044963094	0	0	0	0	0	0	
23	9.19999105029138	1.86059774082602	1.14474413892788	1.10313088187482	0.531442998013921	1.13954668089023	1.00527488107211	2.40928286233897	1.1056860081229	0.878880306109974	1.83708785875287	4.59391996537456	1.5564195195993	0.887382191403484	2.34795055494395	1.62121212508337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.218857650768733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	9.19995489915387	2.05690932563986	1.71053079117476	1.62100487432789	0.38249385679759	0.708255446202188	1.35091069955594	1.75683632905328	1.08013357282863	1.22963201305788	1.41191462663116	1.02110135379205	1.23162323968885	1.47958170818632	1.23923665976716	1.84784271105092	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	9.19995737276573	1.94431558865942	1.83974055268115	1.53838457421679	0.777557490751875	1.11079710320837	1.00336505098978	0.519223992743831	2.25390561566624	1.62859391628724	1.54189399876782	0.57292749970976	1.49603354412788	2.10876325048875	2.60810380938816	1.45668709901586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.117880887044287	0	0	0	
26	9.19993055991572	1.76771433670405	1.46581954314819	1.38009301842492	0.185135839237299	2.32820239627526	1.35140443903204	1.45739833191428	6.0163830788143	2.39129886213167	1.57463043261152	2.091551874417	2.38535842494686	4.09322416801535	2.06583659481134	1.3581815343237	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	9.19996311067651	1.99215602159511	1.18343815228962	0.77671579481047	0.410470928807559	2.61941460898798	1.14778392365965	3.40713970082883	1.03118375293456	2.29760916148675	3.01449681157539	1.29209398739336	2.35080606814781	2.35604512865098	4.44050754198025	1.50128622615824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.20419933289174	0	0	0	0	0	0	
28	9.19991321083375	1.88273954330921	1.66176864057415	1.24352960516068	0.636441182098673	4.24191519867086	1.07591987200176	2.44680684170443	0.818283909383164	1.5775397171373	1.14581398368877	2.05203925374506	0.946692276353875	0.903467427373626	0.883200853953952	1.94491349896159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.033263180899135	0	0	0	0	0	0	
29	9.19997616204056	1.88729072958252	1.7177118454758	1.0171560449384	0.729904621525611	1.27354268453642	1.23682107952763	5.43627164490022	2.49512079941455	2.19207546909461	2.13004496037563	1.78571956053849	0.74756421360482	1.61905050147265	0.946557102723274	1.78055584307678	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
