sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli	mig&neo_gra:neo_mar&neo_pul	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_pul&neo_gra:neo_mar	
20	9.19995615568854	1.80119227448363	0.368540974937978	1.04337766775059	0.46854499632619	2.85402434110336	0.968065955992995	4.49608611941781	3.28394136027352	0.938403605402799	1.08073560923291	0.666703238741861	1.84024220660693	2.58561789748161	3.22122353139551	0.896833647940846	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0596096758742381	0	1.33836848991098	0	0	0	0	0	0	
21	9.19993447608162	2.11928253440851	0.674671972961705	1.64593022235534	0.680981949904791	3.35522833037471	1.05241798910739	4.80867001027547	4.56347821101803	3.36352769320727	2.35347932783661	3.51526968991918	1.53661374160627	2.30791915058828	1.4558326577018	2.12698241110712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	9.19994045753926	2.36528722007131	0.389455095179993	0.997836474209973	0.742272859298285	2.24779913151956	1.39363982273869	6.57020163769289	2.27989786216071	2.70164258044678	3.23622004397206	1.54765727370975	1.47088434067449	1.75714728427174	2.08803710245042	2.25825767740954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	9.19998178210455	2.04659963201899	0.751498901119994	1.33220661846833	0.770312182933278	2.0052401952622	1.25214234733208	1.9023332100304	1.79130012372062	1.70947314858218	1.28153165990123	1.36996747127973	0.921551522461208	1.50835124680706	0.914416563644151	1.03540137480934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23715081465105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.186050541545982	0	0	0	0	0	0	0	0	
24	9.19999589705371	1.54611150319248	0.60680227231733	0.987000436169549	0.765474654717252	2.40991455391264	1.04991175218678	2.22613414017703	0.887758544292522	0.631837116799273	1.51876902856139	2.62504999457328	0.386460798859243	1.13156301091908	0.725805446924784	0.866735413255992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	9.19992001284624	1.8628330083859	0.475063390270872	1.11012463246137	0.635959188715033	1.02368664444909	1.19809670085889	2.4077215601703	1.12366547545124	1.3211239867521	1.20421092072777	1.32414384398127	0.688170853230927	0.557130103238976	0.675778925989385	0.802281161807048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	9.19993797367975	1.84177689170298	0.0561739230187919	1.74537352638927	0.906973217859335	2.13767631488062	0.922380793970932	3.42094429549546	1.92124772629213	1.69354893033819	1.62432767868217	1.32115536752646	0.860877081422804	1.94076966083233	1.20772218100873	1.09187798403315	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.205693731010645	0	0	0	0	
27	9.19999737423779	1.69764236616546	0.245553615265742	0.935920885137674	0.406560199627201	1.17000034402558	1.12083737822489	6.15782503831193	2.37304057092875	1.39695241393251	2.93266330773759	3.01174656383099	2.08706217465683	1.30056295576735	2.08736209168506	1.43738587350723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134521114687331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00501529576216522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	9.19993931792112	2.09876343126358	0.73863857293463	1.2532556877808	0.759913175890098	4.62050943986071	1.1046855668285	4.02916743248385	3.55835739290257	1.61189368103037	1.95926735622614	1.23689924581415	0.660570985816799	2.92074335928475	1.28669925579837	2.7691663971192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0547130785321075	0	0	0	0	
29	9.19996529782532	1.89619480495094	0.411127600073536	1.39063192325113	0.475886008904126	2.26338846184679	1.18555902480658	3.61599513193654	1.71955457049159	2.77723858787156	1.17097364800058	1.2550850627104	1.36670690869051	2.52854935587013	1.61995241862154	1.59711813520627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127641290234161	0	0	0	0	0	0	0	0	0	
30	9.19997506260271	1.56170717148671	0.42956553687378	0.965322855661385	0.491015912274711	1.58152372912001	1.20455552747154	7.21098011164176	2.20900634005333	2.36617447188456	1.05846186017487	2.02074993419736	1.08498459165297	1.8120957420744	1.08172969788419	1.08763621109596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
