sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra	Ne&neo_gra	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri:neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	
20	9.19995505167748	1.67516408177646	1.6059251492101	0.579308103137825	1.53473762564628	1.47230773498754	0.979999997111697	1.20305849295623	0.596638820437006	0.639157877611335	1.34631794988473	0.84025433734909	0.598611358586368	1.409604471806	0.695746977307905	0.776378105810517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.574382807894571	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	9.19994873019031	1.6841411829109	1.24463377506945	0.671371028621174	1.09794506271	1.53667727165635	1.1300062469091	1.85638703424788	0.568528532986471	1.34941960156333	1.47949214890531	0.504819061220196	1.22180296511999	0.786512795126146	0.346054274831126	0.54154743500141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207655058797328	0	0	0	0	0	0	0	0	0	0.295291367583394	0	0.656614156422959	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174833155594384	
22	9.19990814035173	1.99514147558151	1.86645140107494	0.547001015459212	1.38023887165375	0.659320317247449	1.14197746041842	1.5635608194524	0.922606355891328	2.72650810792443	1.19131494753588	0.890146221936092	3.71397897218708	1.19011550222824	1.16359571297602	2.03006025334663	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0180273626663639	0	0	0	0	0	0	0.564227654434532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0631467853937534	0	0	0	0	0	0	0	0	0	0	
23	9.19990297295575	1.83034585006914	1.72913460130659	0.421548485537	1.68278125690212	1.56089062757153	1.18151684446406	1.91253874592835	1.790097995119	1.64678316717056	1.7862377152215	0.921481464756844	0.619522737811089	0.497446086584811	0.604986797428847	1.49834218722652	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.83357068698438	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.443443678920306	0	
24	9.1999642848363	1.56796272428395	1.55575498026517	1.04965380250045	1.48479874307986	0.248652232546528	0.911286273198509	0.521198958162361	0.301478839747171	0.260827350964346	0.349599748386133	0.209669689237577	0.431123630039635	0.28737856762879	0.514674282503328	0.341271964320666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0728124137615299	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.272349108374357	0	
25	9.19994349746491	2.54382637775177	2.52222189498604	0.754259570878501	1.27101789714295	1.43183794560344	1.34116209474271	1.67371391225028	1.66770621579332	0.991125941934769	2.22152975080694	2.1051483102874	2.52190179132451	3.5243446190533	2.16787552071111	2.81415460287271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.097854084091262	0	0	0	0	0	0	0	0	0	0	0	0.631076504629618	0	
26	9.19997878700705	2.46824496010038	2.3374126249055	0.586020979651979	1.93592208923501	1.53682321570039	1.26824025194315	1.47558798525533	1.48985026259661	1.89509738274559	2.11349851596334	1.13955087683461	2.05662071247592	1.57537586505288	0.734867492822855	2.8985330400544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280230458872918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	9.19995459850909	1.64634196448999	1.44807834322237	0.78286671177201	1.29102030046467	1.09468128574289	1.25977231375117	2.24626963032187	0.556001198830503	1.03569118388996	2.55912730841915	0.590789548040092	2.05715839100433	2.23432307161056	2.26175832612165	1.19096745565985	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343091745712681	0	0	0	0	0	0.424979457229343	0.00617862576542474	0	0	0	0	0	0	0	0	0	0	0	0.486654201750755	0	
28	9.19997731376254	1.74537914153926	1.73778168868332	0.696781666150807	1.61673923858398	1.39439969688235	1.06173728613645	1.31401111444835	1.14061029696478	2.1220646373859	0.515765032181274	1.31962974332504	0.649616314465975	1.33014906555654	0.718114190732035	1.01515659308169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0278290341942495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.426074069223732	0	
29	9.1999140983306	1.81471237876994	1.81170095761292	0.511816789841936	1.2592315001054	2.80858370756204	1.24344506677841	3.43074847573676	0.947677308709328	1.5260601092689	2.30072623822092	1.04313086632019	1.3244717342376	1.17412128728658	1.0541717784898	1.89317098542017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.435970805030321	0	0	0	0	0	0	0	0	0	0	0	0	0.0766571933817341	0	0	0	0	0	0	0	0	0	0	0	0	0	
