sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_bri:neo_gra	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_bri:neo_gra	Ne&neo_bri	Ne&neo_gra	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar	mig&neo_bri:neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
96	9.19998192780177	2.50557658306883	1.74525333504735	1.13777680705451	0.754644034576968	0.720184804002214	0.812143802271983	0.362447900756499	1.10398931729943	1.52673423038829	0.544332099190282	0.559174515390094	0.610155420770197	0.687853558822023	0.662484397703072	1.07294131613492	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0404397063768322	0	0	0	0	0	0.294453258305066	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.268401074140009	0	0	0	0	0	0	0	0.201891241037549	0	0	0	
97	9.19991619966097	2.72296984520367	1.6035510514533	1.4612622752772	0.664445331929313	1.01668460261059	1.11718804818878	0.752526580919405	1.74306717577059	2.5051542606812	0.509816449538747	0.89627584879231	1.26644866707831	1.12597136637886	0.794485869769305	2.24963762479662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239645959424578	0	0	0	0	0	0.649911041475608	0	0	0	0	0	0	0.230295154997142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.192858826208021	0	0	0	
98	9.19995349108424	2.5365325819601	1.08082870089925	0.913508357261014	0.801003235447749	0.327660583509453	0.638282691446796	0.140608934144078	1.44001214175848	0.550389443278025	1.38974850784382	0.503992090773737	0.409158250612636	0.623679431333795	1.04701839425858	0.505760012179538	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.650636822719785	0	0	0.261302677530514	0	0	0	0	0	0.00181687302739985	0	0	0	0	0	0	0	0	0.370730382344829	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
99	9.19993325884903	3.06817095078269	1.4227665032553	1.34394828508926	0.862712291898097	0.510993525581839	0.566972838042285	0.212442401883037	1.6820285595937	0.755517396366232	0.243663111815527	0.706332100685885	0.501208583355737	0.424187509303414	0.798016504322807	0.627830564111474	0	0	0	0	0	0	0	0	0	0	0	0	0	0.136581291681236	0	0	0	0	0	0.239712739019729	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.334754097892272	0	0	0	
100	9.19990352035237	2.53806823315225	1.58731221111276	1.47638602795372	0.783856294945517	0.667694939147488	0.828931997329648	0.264089283675179	1.04725697112487	0.610986771806589	0.318895173563699	0.535695142987065	0.555921530758362	0.62349489998642	0.638762828452784	0.720899349341207	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177701676862177	0	0	0	0	0	0.224006164484152	0	0	0.945633927744548	0	0	0	0	0	0	0	0	0	0	0	0	0	0.122973952161752	0	0	0	0	0	0	0	0	0	0.285200579812698	0	0	0	
101	9.19992262755983	2.09376889637851	1.1190147010456	1.09221110700674	0.518350808404239	0.518988550908432	0.819497059155731	0.254838617749278	1.38271749582666	1.1439520878817	2.2115771515445	0.804667347427049	1.27601053658218	2.11583622621331	0.675519828769937	0.657565184817624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266000608475713	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
102	9.19993094094776	3.63898734915941	1.25429960006735	1.07550335149796	0.329928258629602	1.19359753663091	0.639649725194555	0.261812501689024	1.78747497766267	1.00411462726304	0.972848109792603	0.695282497814349	1.37203214955772	1.06572826708277	0.764553530729781	1.71907360043856	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201176685917431	0	0	0	0	0	0	0	0.301949767235792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
103	9.1999143119815	3.67380906675644	1.43448188618153	1.40912439312037	0.734416717576469	0.389524610909482	0.761086633790124	0.482129636381644	2.60942220828326	0.329834710943545	1.07903944844864	0.739627738965518	0.691468289807073	3.12762339976096	0.93976215697466	2.17011181731287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.191327974273802	0	0	0	0	0	0	0	0.151101478337502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
104	9.19996230569208	2.65845503578495	1.30767495701864	1.29897892681158	0.876312674937513	2.63228050149913	0.85502881766527	0.123449267089523	1.37809540104757	0.6445416116356	0.273793606981885	1.48166933885013	1.50188928061947	0.938760270435552	0.800117867786342	1.32355086371094	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.17863159868693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
105	9.19997218548177	2.50119701942341	1.1213813904497	1.12094799360161	0.791037472667972	0.994850647641793	0.689868348775	0.505371538147086	1.94768714909678	1.6700638878059	0.899652188410422	1.05273925968364	0.434618063400241	2.53207252808206	1.81313472416351	0.990745632206955	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214768047028077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133131151597977	0	0	0	0	0	0	
