sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_bri&neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	
48	9.19997739070134	2.09745586463615	1.97202835408196	1.93782399701823	1.01934986020874	1.61023214127799	1.29175892006876	3.80209890258223	1.44656043216334	1.03563198643574	1.5201827728988	2.06619499635212	0.960406274458269	0.888985929222531	1.56115888938573	2.19173928535259	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.180075485033739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	9.19996298102367	1.46829705488866	1.40107760950924	0.846083530308942	0.552700537463698	0.6870816601148	1.10682622366559	0.558838525428158	0.841294729440795	1.49496267188768	1.40391547549505	1.34299496092875	0.759731460659808	0.499836471427216	1.09722399733648	0.781599356313849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158376533024568	0	0	0	0	0	0	0	0	
50	9.19991907266696	1.38664146514291	1.3821668542439	0.815627042583103	0.482386258828106	1.81927475611114	1.40319047275043	0.753536222624217	0.846211444936267	1.61380775874959	1.1001709849644	3.64539393637868	1.0347641496995	5.74782716888464	1.43628551474085	0.861498679194675	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.880726045807338	0	0	0	0	0	0	0	0	
51	9.19997360829282	1.6137132911187	1.59510773918209	1.38314647560933	0.713870484629841	1.70620974244608	1.05531886268103	0.491723976366939	1.09715888054019	2.18363898844276	0.551671321047365	0.667066232392319	0.55150303405338	0.476706680254537	1.16844524263134	1.07118161620341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.277928248222908	0	0	0	0	0	0	0.0805926542510754	0	
52	9.19991588630427	1.77933141083188	1.71150814157742	1.58393167337105	0.779189169654891	1.78080495544129	1.25385435794861	1.41283690199832	1.60495771823902	1.34592995995254	1.24044743376971	0.810642832685534	1.19001527891498	0.454036121743013	2.10538966649753	1.65625787526118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.229994735858208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
53	9.19991917808374	1.96468040821036	1.46554392381952	1.32752570331095	0.706606638782048	0.377968237691989	0.841897541396688	0.529743893764621	2.38120754205885	1.81952074000516	0.39191818124424	1.808419445771	0.424305918528808	1.2059743278899	1.22191649364039	0.551247390767558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112039957187016	0	0	0	0	0	0	0	0	0	0.553914989222965	0	0.0649751593016805	0	0	0	0	0.191639024866005	0	0	0	0	0	0	0	0	
54	9.19990914583378	2.27032247961651	1.57461096036197	1.34835791179632	0.959355820811684	0.885924940510443	0.86357788865255	0.384656132419286	1.93603788896019	1.18606656109807	1.32728120202433	1.11971472937253	0.427256319017202	0.943473427839377	0.744901814886333	1.47893290979471	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.226381100276861	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.438763380632487	0	0	0	0	0	0	0	0	
55	9.19997822149056	1.57144770745784	1.43528273141369	1.43112382286139	0.928353771302124	0.844074036057501	1.16319403702244	0.432623433165042	1.23756289485174	0.767044912002261	2.21486600331607	0.470108604074553	0.491226707974336	1.76952355998238	0.808417904659068	0.926556048460699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00269092239211749	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257575860441822	0	0	0	0	0	0	0	0	
56	9.19999768903453	1.66169873027642	1.41039517007456	1.03652987526014	0.62219788992703	1.53007807596695	1.07112544876777	0.441793849339527	1.39298073875884	1.80120589217366	0.980314225916122	0.774316439900921	0.844789326841159	1.76505975161315	0.774510858786893	0.81275111039594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.150298553679424	0	0	0	0	0	0	0.524047165333119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.129615114176471	0	0	0	0	0	0	0	0	
57	9.19999932281095	2.09623738304642	1.9997262205423	1.75829191036252	0.741763195866477	0.898408183448529	1.13516784066531	0.5622248509424	0.935000135030984	0.866353011709305	0.946794155454512	0.954759210035908	0.871285493876013	2.48926238767842	1.82594100975935	1.84189418877857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206808749830362	0	0	0	0	0	0	0	0.0588163706923665	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.433438263286965	0	0	0	0	0	0	0	0	
58	9.19998174261239	1.88268222356326	1.86896658517274	1.34592828340731	0.605669856641009	1.90357576995836	0.782734178570559	0.505117942145155	2.152712262762	3.82497334961647	2.35528847355072	0.784937754874161	1.08321725373034	0.700708896738719	1.13081225046513	0.795370756382974	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.356682452670675	0	0	0	0	0	0	0	0	
59	9.19992485755846	1.99966343375941	1.92600661563119	1.76928055041395	0.616891628031322	2.01287586932351	0.902137131019142	0.854076918838456	1.8552690946351	1.15947263298082	0.884249986151434	0.701535255704009	0.985547542754037	1.02104423248737	1.45533794033123	1.63989906806178	0	0	0	0	0	0	0	0	0	0	0	0.0935583420660646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.154723532457592	0	0	0	0	0	0	0.348469124586235	0	0	0	0	0	0	0	0	
60	9.1999992724338	1.46979866057945	1.32391835357713	1.15668910798468	0.230122791294949	0.786808207259957	1.2208903291958	0.537718104707724	1.52897900140294	0.914612807483171	2.18363527148056	1.49276098160182	1.52056300488465	0.888626555700498	0.928916414846771	0.716239941701962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.45034957607668	0	0	0	0	0	0	0	0	
61	9.19990392338547	1.77274612592029	1.3978075823969	0.886329446977318	0.738178842029158	3.55205563174402	1.20478352691246	5.72439928501789	4.04384078003955	2.31147047246258	1.91641810183013	2.48780284230824	0.942720712624455	1.7080037270498	2.72780654874156	1.85559195789037	0	0	0	0	0	0	0	0	0	0	0	0	0	0.177798691077853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
