sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_pul	height&neo_bri:neo_pul	height&neo_gra:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra:neo_mar:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_gra:neo_mar	Ne&neo_gra	Ne&neo_mar	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_mar:neo_pul&neo_oli	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_oli	mig&neo_gra:neo_mar&neo_bri:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	mig&neo_oli&neo_gra:neo_mar	mig&neo_oli&neo_bri:neo_gra:neo_mar:neo_pul	
10	9.19997998091361	2.25373887185237	1.60722812106823	0.910524346500025	1.24450864596047	0.417934825742058	1.01762706959268	3.5047879778372	1.31524530512882	2.21775726051101	2.89080824772219	2.92935406538173	1.51988330640613	1.79435523775875	0.450412966153845	1.26431079136247	0	0	0	0	0	0	0	0	0	0	0	0.212777983685169	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.441653422869773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	9.19995764244659	2.82923109189576	1.22049147654164	0.965968059085312	1.11241341383813	2.20991790396938	0.589007432338425	2.14901630773635	0.328009654986719	1.31393400841322	0.970056479318091	1.36806232528113	0.850715701968866	0.95338673454853	0.307020237407885	0.614495640933777	0	0	0	0	0	0	0	0	0	0	0	0.267075457394534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.413997859175007	0	0	0	0	0	0	0	0	0	0	0	0	0.0246418535805856	0	0	0	0	0	0	0	0	0	0	
12	9.1999605587342	2.88092166469859	1.21702668200834	0.818705221241373	1.15653420248326	1.37959671364686	0.704141722804092	1.68333597065066	0.943570273739857	1.37405147455365	1.23522586121427	1.51873646220045	0.989464760296548	2.54113688378493	0.409068377892073	1.28530133366332	0	0	0	0	0	0	0	0	0	0	0	0.258687242823026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.560646304885559	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19992778879634	3.20404721609535	1.57021168261897	0.788799123311997	1.42114967092761	0.940253094246886	0.807127173571913	2.03592308238419	0.901785704147173	0.446211128985216	0.894879424204772	1.36818417750989	0.500111184031032	0.61040339385562	0.233135216933386	1.45513435887153	0	0	0	0	0	0	0	0	0	0	0	0.284736173958482	0	0	0.011107227420861	0	0.283235851778102	0	0	0	0	0	0	0	0	0	0.386310074131329	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.19990101267178	3.47580885116618	1.75355362416406	1.1323933529579	1.5857478057533	1.21610998520406	0.723790206367158	2.24540383558406	1.04614296982026	1.23207567197749	0.945521643083725	0.859353859164032	1.79576579593091	1.60975261681699	0.267873738839073	2.31734381354864	0	0	0	0	0	0	0	0	0	0	0	0.236848021184225	0	0	0	0.0975201816961559	0	0	0	0	0	0	0	0	0	0	0.337070760757081	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9.19997090850102	2.67108722173633	1.65366515164471	1.27694360354868	1.46384979609301	1.58578643520511	1.05061854973509	2.94355700737146	0.767771667460204	2.0646301445938	0.571421379186995	2.67562442314716	0.625884570027882	1.69965320388079	0.685693163712532	2.33613406082762	0	0	0	0	0	0	0	0	0	0	0	0.383097823698736	0	0	0	0.228460743370964	0	0	0	0	0	0	0	0	0	0	0.294051188466249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.1999367697717	3.19303057039088	1.31645451040531	0.86813625524749	1.15868470525571	0.505962743048529	0.793398983463476	2.04752920995939	0.792749852141048	1.00663530250295	0.588488171747174	0.997930493807695	0.44880197360308	0.885742115639	0.305733973394397	1.41533583491344	0	0	0	0	0	0	0	0	0	0	0	0.24965072643162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.243516928637436	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	9.19993878479983	2.60537053226973	1.51928627252573	0.705082757747672	1.39182623226742	0.599703117892963	0.979748605948656	3.33385621195455	0.697670990912547	2.0852823369997	0.424110321766604	1.08369045842459	1.77388856934033	0.914694273275815	0.225000812525674	1.81534353963264	0	0	0	0	0	0	0	0	0	0	0	0.256181236970531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.428569604079297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	9.19994580035644	2.28199995670673	1.30532428771892	0.988268629418242	1.09311347314017	0.665227613122076	0.76288412728974	2.81354876507279	0.701168921246861	3.2751982965007	1.53512266910234	0.537448269572292	1.40688137729005	0.666020745448379	0.263653037585786	0.814510655712302	0	0	0	0	0	0	0	0	0	0	0	0.33213476927701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340904429221885	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.19995190896921	2.47452092711703	1.04046675416372	0.769100637197624	0.873567821183262	1.06673556537093	0.931742426909632	1.99428152240133	0.743687648823404	0.978775661764593	1.37577319380084	1.38103624461619	0.599748070804638	1.56020429964046	0.269455849264493	0.692591349688508	0	0	0	0	0	0	0	0	0	0	0	0.345125960434523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.398815235512821	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0482870375100777	0	0	0	0	
