sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_bri:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri:neo_pul	Ne&neo_bri	Ne&neo_pul	Ne&neo_oli	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_bri:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_bri:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_bri:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri:neo_pul&met_zeb	mig&neo_bri:neo_pul&neo_gra	mig&neo_bri:neo_pul&neo_mar	mig&neo_bri:neo_pul&neo_oli	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_oli&neo_bri:neo_pul	
20	9.19998502040506	1.31067387556427	1.30557893791645	1.18591053725342	0.964819798779466	0.477032612095812	1.11858605087428	0.368634190567773	0.385074913869671	0.494917966588083	0.517557780976689	0.472812263489136	0.219892891477599	0.636609202435544	0.334791162575277	0.278409214303412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.394581767309103	0	0	0	0.0853540462483637	0	0	
21	9.19991617954873	2.08084814961543	1.97203209484632	1.88482080420191	1.38377208611381	0.345313264331919	1.14310287660451	0.667036192362095	0.296966352241486	0.767124615888807	0.540282701493738	1.34673382167773	0.474364883914177	0.901637207629708	0.267017015844888	1.81657775325342	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.23696786180854	0	0	0	0	0	0	
22	9.1999092498153	1.57623941165616	1.36368461595463	1.32233620295179	0.800323021419261	2.39479380161202	1.08305823141762	2.90780795691655	1.70089274642847	1.89171615616109	0.98747836583458	0.757884153262609	1.55053863589697	0.456182539004676	1.27402893239156	0.383189139327106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.395613925345106	0	0	0	0	0	0	
23	9.19995577934635	2.06015617223683	1.52268547212794	0.95563473280141	0.89451124551025	0.355003818444949	0.823661246240121	1.14067171666709	0.649207086345288	0.397253248801916	1.1313887524519	0.311065945202232	0.323747226157667	0.879441415392454	0.216984938842421	0.733202552150495	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974666076405776	0	0	0	0	0	0	0	0	0	0	0	0.453982403174074	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	9.19992265224916	1.93564733502752	1.61150823921382	0.804191320695815	0.572239160287965	1.09655212379262	1.03424202310932	1.57785343907322	2.37728487870376	0.551087018754891	2.25075895015068	1.28751752339445	1.10180623056504	1.40487374620732	1.3608057862862	0.914835781098285	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0706783193941629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	9.19994984357108	2.23949065711906	1.75370057692974	0.688778511748613	0.660396998998566	0.873790301191462	0.87990651266637	1.69460487269742	2.52734599426972	0.591609245395416	1.80585892361749	0.356703389234012	1.10585784805419	0.98833472779443	1.20887074386223	0.949808546551593	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.58117938970828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.138235187822077	0	0	0	0	0	0	0	0	0	0	0	0.037736999197573	0.0399713072367484	0	
26	9.1999452325669	2.11083351079692	1.6494229268816	1.16365627221063	0.932007866996509	2.45621026419958	1.12570292537087	1.56299294710343	1.97224016641012	0.84142085924516	1.86069293271189	1.5625863964459	2.49922442380315	2.33766947621516	1.36767600993458	3.19540145950642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.302298332926002	0	0	0	0	0	0	0	0	0	0	0	0.0361140607826764	0	0	
27	9.19993527953393	1.80286977413164	1.74272634492066	0.992513183900295	0.948950525347001	0.90965141048991	1.38014183714058	1.4013457513605	1.08582608280037	1.45833622341601	1.3909877429539	0.508613498440143	0.347151914657728	1.25720473472157	1.04054827183607	1.91866725212418	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.19319400954584	0	
28	9.19990150756375	1.89234489313103	1.29717509773389	1.14475158136753	0.86136590228103	0.309347932693503	1.0644322201468	1.35305963776066	0.589110999605778	1.04749559527659	1.82393992926598	0.730432928104702	0.176288586105976	1.31503565302228	0.373996510310984	0.655551337086191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00572896233305874	0.0289208555983717	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.321193104434473	0	0	0	0	0	0	
29	9.19993476141568	1.61064483831447	1.33997219071781	0.966489324740206	0.839337794541684	1.40715449990331	1.13902182567991	1.10736686786659	1.31210533653379	1.57383615039397	1.05778732586437	1.24226293436748	1.40380771023829	1.36140218174521	2.21308999407378	0.888457951021412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00186895384205143	0	0	0	0.156048055528525	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
30	9.19997398182131	1.85607400251691	1.70114007411876	1.46188137688339	1.03633280030584	0.944107406616162	0.996789556435929	0.684762544694088	0.740366379032834	0.777251886308123	1.65686843836396	1.51586138051801	0.927970344061812	1.00843218020387	0.855139996484461	1.47914982296027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0443153966255912	0	0	0	0	0	0	0	0.0706018131728099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.426096834338594	0	0	0	0	0	0	
