sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_oli:neo_pul	height&neo_gra:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_gra:neo_oli:neo_pul	Ne&neo_gra:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_gra	Ne&neo_bri	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_gra:neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_gra:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_gra:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_oli:neo_pul&neo_bri	mig&neo_gra:neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_oli:neo_pul	
43	9.19997606242429	3.13881929435578	1.03429683337593	1.00380984983864	0.292011329165934	1.01787842400567	0.543212913139328	0.21439007973496	2.00046069165923	0.664473840116024	1.20677168357008	1.00245036943297	0.555427983369943	0.594135412610357	0.302194714482471	0.641850505413165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.151737454395911	0	0	0	0	0	0	0.024920459217951	0	0.335910732972394	0	0	0	0	0	0	0	0	0	0.0108042134402196	0	0	0	0	0	0	0	0.225871373593231	0	0	0	
44	9.19994275685759	1.87238838992897	1.8416168608889	1.83060288763759	1.06261075838014	0.64511233804785	1.132956720643	0.733815672049277	1.59981891084582	0.584174839893912	0.471826677143481	0.837102184069325	0.773480334220969	0.921482263970377	0.455867595357092	1.56640639429728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.414058667263937	0	0	0	0	0	0	0.196586231636968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
45	9.19995030635944	1.61931924137401	1.5287811171879	1.33766592294399	0.489189966650569	0.777157144458313	1.04618858409767	0.676395999516178	0.775565242431803	2.17975185608604	0.646268767978496	1.95383997792752	0.674136705728372	0.6053283771957	0.72335601044656	0.851171297014628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363442470073844	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
46	9.19992124778497	2.37885866333393	1.65010014761299	1.60191250955239	0.414928919860777	1.40655239897508	0.852246388886939	1.98139769453463	2.80918280254805	0.899016516685368	0.868482988381809	0.937375487900467	1.78594005106721	1.4215589437896	0.367244895037837	1.46237289311623	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.581682131745798	0	0	0	0	0	0	0.172422970860418	0	0	0	0	0	0	0	0	0	0	0	0	0	0.187890271066157	
47	9.19995705711837	2.17264023332427	1.92648219125271	1.82856855928415	0.842744378617765	0.874206138925595	1.23435441908699	1.64737512294659	0.981297767330566	1.75593224436828	0.915514038686464	0.865348977981466	0.722257568734456	2.57761073253698	0.406146787068457	2.17530057816393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.847718035090896	0	0	0	0	0	0	0.262638639063696	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
48	9.19990607438125	2.37835710414393	1.37331944588324	1.29293442436665	0.470092594793521	3.02318004016921	0.79423683402062	0.218193053210908	1.27600102630893	1.00239910406057	0.782640902774497	0.767777395824017	0.893447266597761	0.686634256501038	0.685730672186087	0.63800805609698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.282351358406711	0	0	0	0	0	0	0	0	0.44188553400511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
49	9.19992030606874	2.33951871169682	0.988828303683214	0.971748140045344	0.802727751098412	0.519047956746675	0.65630671136671	0.169801464161181	1.39115588431987	0.282311120014544	0.267745872375394	0.73538217689936	0.603199208046705	0.831756626220855	0.181094861610637	0.586972633307746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.183988105710862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
50	9.19990251505366	1.43497002843899	1.3426139200837	1.33918325689842	0.804711855698947	0.76609584182081	1.11186251367183	0.430599239344195	1.30188156668293	0.911615875504446	0.430143895119368	1.40185779819324	1.31995288972321	1.5741768234076	0.314598134881714	0.844454157106277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.336764317617311	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
51	9.19998257513442	1.86537515567059	1.55313653751805	1.54131278508121	0.936122545393201	0.844912443774488	1.02156014192455	1.10112472646327	1.33887944933958	0.495676179498291	0.826996297116694	0.888040210542821	0.642449806201492	1.26024639702642	0.39770074335569	1.05441056726548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106052486761264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
52	9.19996504423233	2.13463027524421	1.39749045680453	1.38202553907521	0.702004964761706	0.790661501129177	0.878678606813369	0.955278790587987	1.6773380882587	0.502477420786534	0.518379623863671	0.851229303669649	0.727693744369484	0.223061398310473	0.910942246504618	0.71155353968358	0	0	0	0	0	0	0	0	0	0	0	0	0.0165107842387152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.357201836433232	0	0	0	0	0	0	0.138799535104782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
