sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_gra:neo_mar	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_gra:neo_mar	Ne&neo_mar	Ne&neo_gra	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_gra:neo_mar&met_zeb	mig&neo_gra:neo_mar&neo_bri	mig&neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_gra:neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_gra:neo_mar	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_gra:neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	
20	9.19991839145812	1.70471507914204	0.985157239960964	1.34268873929589	0.40215586367544	1.45532546603373	1.18118673048355	2.13694733701668	1.76748155355431	2.63288607553206	1.30989550023814	1.48418948347437	1.77953973422629	1.35792822832257	1.1796441246271	1.50722981340664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.047806294764139	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	9.19992614467609	2.32846804312877	1.00632919080573	1.22241134845507	0.224430139451871	1.63711371434855	1.31239871384212	6.30508812636963	2.70542063057648	3.49529827099805	2.57432214662478	2.42573414820424	1.48712564877272	1.67817590196869	4.42596569616564	3.47411541148324	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
22	9.19990847359631	1.64003775219249	0.786320173810071	1.32293073316681	0.374166504977616	2.89214990771279	1.38481780323888	1.936953523487	1.3373446805835	3.73252843932494	1.10600171487796	2.56104500430115	1.59625620698929	4.01073961346489	2.43970927675922	1.81811417168987	0	0	0	0	0	0	0	0	0	0	0	0	0.174897188677427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	9.19990721867451	2.10813703737838	0.575085452850631	1.19635678162779	0.239369812515178	1.56069654727761	0.93545357482241	5.03303157398624	4.00206051087718	2.20001880724378	1.76796190259912	2.08889072311434	2.29468764080417	2.17494744395316	3.61011779145404	1.59224271337705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	9.19998447041516	1.7084204047326	0.975501643746746	1.16933454862275	0.47035465050393	0.851035860330243	1.31766064578857	2.64882290736601	3.64477763925147	3.38455223445892	1.40369753773848	0.612658126445935	1.26172568925879	3.78837903060689	2.75331531693948	1.00244041344978	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0733223231863674	0	0	0	0	0	0	0	0	0	0.127210582355836	0	0	0	0	0	0	0	0	0.079035904342365	0	0	0	0	0	0	
25	9.19994267008179	1.61341630265283	1.16027706091492	1.23558777298152	0.416979609034165	1.55207025067409	0.835977612750122	4.92599949933411	1.7137510498114	0.882989308264392	0.977711227089518	1.5604729771432	1.6538495957804	2.14462047271009	2.3308865592624	0.883088550823222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
26	9.19993604404549	1.55113820955774	0.938898698804366	1.35093610195074	0.32869659357748	1.29701230089251	1.00511860214383	1.58946620437238	1.71537318736661	2.05165317181372	0.834235832191424	0.869652180584526	1.59818066511622	2.58251636224131	1.55086196491905	0.773160879451487	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	9.19990670394395	1.72847973840762	0.985628922697919	1.04413145315548	0.720590268777491	1.1456358459642	1.21034862804923	2.46540144918033	1.64643893650981	0.666077671010286	1.51382656773064	1.95979775762963	2.09534813811262	2.72234707881337	1.04316064637873	1.24044492281909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
28	9.19999345885684	2.00894290213859	1.50899304378863	1.72356068348798	0.266228683219412	1.05935265449364	1.5015298060644	2.54484406473149	1.79930344566109	2.38083372706167	1.08418102820995	2.49121475937301	2.31688371332379	0.793161128354714	6.15311047710017	2.45179846584962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173252801060855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	9.19999984285496	1.89848024641843	1.37446678222795	1.4189653130645	0.524431167647748	2.50357794137677	1.25739584654874	1.59943248304115	5.70532574823571	1.33229465252957	1.19773644869552	1.13015644613238	1.40227566516101	1.80013390838857	1.13384638041438	1.75851590535615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10920415626629	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0694999556749107	0	0	0	0	0	0	
30	9.19997055260122	1.7158156205408	1.1521381500975	1.36235283472338	0.322328753143085	1.19156584988908	1.03771281099112	1.28140487933977	0.524570006345982	0.522866779231704	0.954093757481105	2.17354159696909	2.54417436737171	1.30594879047667	2.21361104387528	1.86952038560156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11936632900625	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
