sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra	height&neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_gra	Ne&neo_gra	Ne&neo_bri	Ne&neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_mar	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_gra&met_zeb	mig&neo_bri:neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_mar:neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_bri&neo_mar:neo_oli:neo_pul	mig&neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_mar:neo_oli:neo_pul&neo_bri	mig&neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_mar:neo_oli:neo_pul&neo_bri:neo_gra	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	
10	9.19990449459256	1.958077580159	1.57931418444619	1.13533814135443	0.700659890498777	1.8706979008023	0.956381001154253	0.886893524593264	2.16570232763429	1.59259562537404	3.66520859023943	0.56739140213449	2.04908658499323	1.94747925602119	0.803466218496299	1.16972512951297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0523826031157496	0	0	0	0	0	0	0	0	0	0.511023205707171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
11	9.19991763810633	1.93455964097192	1.83427930026821	1.82193035090994	0.989321526548862	0.977883782669537	1.27621292966938	1.64283863302651	1.65698425218238	0.855373453832115	1.01940675119879	1.03040575323463	1.90338870712005	1.6629334549099	1.84930892574673	2.18808197195886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231675120606297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
12	9.19997816859152	1.61933462257259	1.42127701642142	1.35166941537441	0.341301422518809	1.17293353068083	1.02331126353789	1.22961197286934	1.12550600160143	0.50835885917253	1.70029894428056	0.748626211475325	1.00735313746989	1.63392939762611	2.89745323096245	0.814047209946323	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.617448468227046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
13	9.19999001643935	2.00690873964181	1.82778905846612	1.52125765547946	0.840938057665892	0.27361231859363	0.994009711661064	0.577543287970061	0.827260886458952	0.49034659008469	1.85626705170712	0.80386734819013	0.572960296933751	0.431462695590981	0.686720432994099	1.75878554556102	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.198653029215214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
14	9.19999169051461	1.70801963162824	1.42761058445773	1.32920755536039	0.488030874060664	2.54889665357131	1.05707237913403	0.936120795675047	2.03939833058737	0.612219703813947	2.37506434249519	0.978860257287825	0.794867031343941	0.663480526613622	0.99072959884075	1.66289298740481	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.535150992365906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
15	9.19993599110937	1.85115657358686	1.6736912431756	1.63997154129025	0.717225545119376	0.877674357580172	1.37363643091055	1.89886712969752	0.936260420912788	0.814004921176732	3.44113000749152	1.29479846102452	1.32521622629198	1.64670588848363	1.88717918259832	2.7914582998928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105752508543961	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0781604582526033	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
16	9.19990699745844	1.56281777984793	1.39327562859787	1.38149038551068	0.891818217519657	0.74375049283558	1.01326952862059	1.84584459381649	1.56777555396967	0.372427211029917	1.28308035569524	0.378902542021226	0.449479855723777	1.60034134928397	0.746518474466594	0.695182199557733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.25393131098241	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
17	9.19996122362785	1.76342423521625	1.72532593747217	1.52654615302829	0.418123397312717	1.23915748272857	1.04513381664343	0.634991079772599	0.812021124642783	0.432650622281716	1.40563928621248	1.17674396068798	0.789287049907871	0.896128314203248	0.774336729387739	1.08187508439271	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.415042582141111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
18	9.1999014314682	1.94517545522634	1.73005437000595	1.34411927337861	0.776977763495082	1.02432948408394	0.976824932588493	0.834071046995974	0.432708681228159	0.831925236955378	2.10072616663736	1.1177873659814	1.44795289609205	1.49370806865673	2.2281463067775	1.85985123783252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.101188268155058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244842445202322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
19	9.1999151849305	1.6671283571057	1.35730030918872	1.04327384998946	0.669585458843717	1.29066509958942	0.94939630679053	1.23358437149497	0.59327380694429	0.305005486017229	1.35339050743256	0.306533876355814	1.01159380474689	2.70231724866081	0.323523390816626	0.510467857219661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0670251379787962	0	0	0	0	0	0	0	0	0	0	1.11084025872025	0	0	0	0	0	0	0	0.390215830006172	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
20	9.19995790965601	1.56694646757231	1.31370123172116	0.973578203139917	0.504218524252327	0.301453888217858	0.938090416038106	0.546511562288633	0.193475567585021	0.276894931001834	1.37134951413583	0.729382194673035	0.184089718937864	0.465918015128823	0.373420017818839	1.11567807057618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.477877954764246	0	0	0	0	0	0	0	0.317086412451745	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
21	9.1999276808748	1.9439024295525	1.41510275306328	1.26356211419471	0.62166116966779	1.01373298097038	1.04960544635596	1.1299206716282	0.843390895855875	1.90615458597642	3.02220699138053	1.2516615780187	0.822574521875156	1.39081643500426	2.67228156169346	1.20628785458986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.689269408256938	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.119146616037307	0	0	0	
22	9.1999492372972	1.63296992449052	1.50046152932479	1.47424022404591	0.769592734094244	0.464081911636875	0.911581587107044	0.569148998597906	1.12372405999248	0.819299384381517	0.740527442652388	0.369821539289469	0.876141450522786	0.548656643336974	0.59383920001842	0.585948430452384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.208880330653291	0	0	0	0	0	0	0	0	0	0	0.372194940345279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
23	9.19995354971633	1.74833625833893	1.6334235567441	1.54944024409961	0.7560770041887	1.22049531048533	0.917473260695644	0.560259112354778	0.794874717977411	0.435158859839374	1.08630670197638	0.64608370798065	0.800469037075665	0.76476916835985	0.842229157352188	0.798533335478413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0481098418498418	0	0	0.370585924375235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
24	9.19993426206104	2.12753619044469	1.96848293220174	1.30089504849768	0.523564834261194	2.21908415796886	1.05553003482876	1.16475407682175	3.86893930774053	0.9769800103525	6.20370384103521	1.37572936053652	3.49883353376364	1.7041507022423	3.43518013423771	2.2285438584243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.476893636532352	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
25	9.19996120595664	1.88336557715331	1.72690214959917	1.25807094167984	0.0228342136912147	2.59688907795449	1.0838509169453	1.8609526299901	0.724111124125515	0.550046889537507	1.47720512904103	2.29659440581031	1.34695575422364	0.990821960729317	2.08115419241035	1.5899990834779	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11.2739114899713	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0402823839518304	
26	9.19990928236523	2.00859490874913	1.97686850399291	1.91405394498701	0.793307096468877	1.88137037885911	1.02532020339351	0.96821360433059	1.78351392547599	0.724227158866959	0.883350320540039	1.00072963822212	1.40879012473593	1.47942925170888	1.51668598571869	2.10015427082992	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.244402491609125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
