sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_oli:neo_pul	height&neo_oli:neo_pul	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_bri:neo_mar:neo_oli:neo_pul	Ne&neo_mar	Ne&neo_bri:neo_oli:neo_pul	Ne&neo_bri	Ne&neo_oli:neo_pul	Ne&neo_oli	Ne&neo_pul	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_mar:neo_oli:neo_pul&neo_gra	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_mar&neo_bri:neo_oli:neo_pul	mig&neo_bri:neo_oli:neo_pul&met_zeb	mig&neo_bri:neo_oli:neo_pul&neo_gra	mig&neo_bri:neo_oli:neo_pul&neo_mar	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_mar:neo_oli:neo_pul	
28	9.19993073998147	3.01537032610136	1.33172570960068	1.22803284466656	0.720223229954109	0.991043030106324	0.744290047559522	2.07599250915633	1.47285396684434	1.72576423858701	1.09787506100254	0.792962442596345	0.365980130689801	1.36238411765744	0.239694362233298	1.60256702280915	0	0	0	0	0	0	0	0	0	0	0	0.277248806188925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	9.19993242750878	2.07468708557792	1.26616747416585	0.772882563201167	0.230302372599677	1.97231351112164	1.0552820605166	2.17441181695634	1.03074888749521	1.57471488606226	1.66271502009551	3.59146034628176	1.2568844515116	2.006397897252	0.624874592434831	1.20182986364508	0	0	0	0	0	0	0	0	0	0	0	0.426971745319268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867985337761245	0	0	0	0	0	0	0	0	
30	9.19992545189972	2.13932304804798	1.1543392360401	0.997922629600571	0.732460288943637	0.702547157857176	0.883318223207635	2.94852071895125	1.38115725322786	0.684449693030574	0.899246981901697	0.521013071768922	2.04731794802964	0.964327553364484	0.257273399555941	0.816029340271106	0	0	0	0	0	0	0	0	0	0	0	0.275265057066464	0	0	0	0	0	0	0	0	0	0	0	0.0452114985858009	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
31	9.19994975917558	1.79986899069328	1.09682365979711	0.909615727313257	0.504850446588878	3.31919298928089	1.03846968202255	4.53789067494709	1.69429576891002	1.05807843315738	0.929011890893475	1.07194423777878	1.32881141265077	3.65546502471703	1.09305175415796	1.48457847765304	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
32	9.19997690759519	1.62505077478371	1.5931574184054	1.32095332941436	0.775168828187878	0.936949226614994	1.05961387773197	1.00512770030719	0.605177106457502	0.689017979349326	0.84615724937452	1.24315422092637	1.22107752276633	0.568084509889501	1.18867644675362	1.32310089311522	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10777277040921	0	0	0	0	0	0	0	0	0	0	0	
33	9.19993055022593	2.01373383684618	2.00721469132829	1.20166735746875	0.148420983438503	1.7323556164812	1.10173534266026	2.07247322667596	1.24710583631151	1.33234607399002	1.05782614488171	3.26892036729794	2.20969733758045	1.69029674416436	2.69213454528969	1.79682647639412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
34	9.19994152303689	2.61135475389954	2.06315059742579	1.23708368902982	0.36984775558004	0.602148689866111	0.981869830335364	3.6072881698355	2.15750088766791	1.47074332132572	0.943813027984832	2.2403451610242	0.881401716007801	0.795724211279882	0.842355926725027	2.57692071993933	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0478205122335192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.310388206571532	0	
35	9.19990766743843	2.20765697814237	1.91608857092494	1.48895605462238	0.384012218530933	3.75401989603197	1.23965754434899	2.16632857772803	1.59812799265202	1.45068113168243	1.75807228499691	2.04479478958529	5.53065128462314	4.29499384071293	1.63881786286576	3.30803643884862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0493758111931015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
36	9.19992723652972	2.26417088117766	1.80138641636568	1.27111295856784	0.52027707191387	0.623636660657789	1.08154881037748	1.93383824869021	3.70396234464378	1.58316379060276	2.64534509003499	2.11298775506811	3.10387081622346	1.1978500922859	1.20623263703098	1.83568111597694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
37	9.19996572108959	2.19096206623193	1.9365125208491	1.06518261045113	0.263330618500739	2.42042257298314	1.27873224029891	2.62042250427525	4.17754399451382	2.38455195027385	4.06534549889807	1.85844797732122	3.2231985564042	5.56494894333352	0.489951469809697	2.4638078005235	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.742488433065186	0	0	0	0	0	0	0	0	0	0	0	
