sample	height&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	height&neo_oli:neo_pul	height&neo_bri:neo_gra:neo_mar	height&neo_bri:neo_mar	Ne&met_zeb	Ne&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	Ne&neo_oli:neo_pul	Ne&neo_pul	Ne&neo_oli	Ne&neo_bri:neo_gra:neo_mar	Ne&neo_bri:neo_mar	Ne&neo_mar	Ne&neo_bri	Ne&neo_gra	Ne&met_zeb:neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&met_zeb&neo_bri	mig&met_zeb&neo_gra	mig&met_zeb&neo_mar	mig&met_zeb&neo_oli	mig&met_zeb&neo_pul	mig&met_zeb&neo_oli:neo_pul	mig&met_zeb&neo_bri:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar	mig&met_zeb&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul	mig&neo_bri:neo_gra:neo_mar:neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&met_zeb	mig&neo_oli:neo_pul&neo_bri	mig&neo_oli:neo_pul&neo_gra	mig&neo_oli:neo_pul&neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_mar	mig&neo_oli:neo_pul&neo_bri:neo_gra:neo_mar	mig&neo_pul&met_zeb	mig&neo_pul&neo_bri	mig&neo_pul&neo_gra	mig&neo_pul&neo_mar	mig&neo_pul&neo_oli	mig&neo_oli&met_zeb	mig&neo_oli&neo_bri	mig&neo_oli&neo_gra	mig&neo_oli&neo_mar	mig&neo_oli&neo_pul	mig&neo_bri:neo_gra:neo_mar&met_zeb	mig&neo_bri:neo_gra:neo_mar&neo_oli:neo_pul	mig&neo_bri:neo_mar&met_zeb	mig&neo_bri:neo_mar&neo_gra	mig&neo_bri:neo_mar&neo_oli:neo_pul	mig&neo_mar&met_zeb	mig&neo_mar&neo_bri	mig&neo_mar&neo_gra	mig&neo_mar&neo_oli	mig&neo_mar&neo_pul	mig&neo_mar&neo_oli:neo_pul	mig&neo_bri&met_zeb	mig&neo_bri&neo_gra	mig&neo_bri&neo_mar	mig&neo_bri&neo_oli	mig&neo_bri&neo_pul	mig&neo_bri&neo_oli:neo_pul	mig&neo_gra&met_zeb	mig&neo_gra&neo_bri	mig&neo_gra&neo_mar	mig&neo_gra&neo_oli	mig&neo_gra&neo_pul	mig&neo_gra&neo_oli:neo_pul	mig&neo_gra&neo_bri:neo_mar	
20	9.19998088605799	1.92423059251844	0.936873363947773	1.37246834370581	1.25200963479617	0.333074888427875	1.01110160612625	0.803215974177485	0.72382374186327	0.916123110055938	2.25130553809716	1.00177411792459	1.02274029639418	0.650493714346785	0.697148826240103	1.07234889628749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.174283000145423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.283522725398004	0	0	0	0	0	0	0	0	
21	9.19992330640768	1.63900390743279	0.802993094204535	1.408206640243	1.4047366909989	0.352931958824037	1.03678417647916	0.872337333094814	0.29257416288834	0.825610484447013	1.12246108654974	0.866511899771411	0.27010728545831	0.647098084775575	0.731904606499601	0.554680355373865	0	0	0	0	0	0	0	0	0	0	0	0	0	0.318942909818634	0	0	0	0	0.0301466958095604	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.319944162978969	0	0	0	0	0	0	0	0	
22	9.19993480255744	1.56469866658714	0.780297953055451	1.38590101702799	1.33443009162737	0.567388029661301	1.1542543601643	0.506443455600666	0.423166118107368	0.590481372257965	0.768803506284008	0.944591639263695	0.41936883200816	0.81228833003672	0.917587145382873	0.508175318916444	0	0	0	0	0	0	0	0	0	0	0	0	0	0.280605136259653	0	0	0	0.0245755038977889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.236212956946748	0	0	0	0	0	0	0	0	
23	9.19990424750027	1.87924039812333	0.877614550994634	1.22663204536963	1.18544496111868	0.38110232663619	0.998583307962772	0.851603478184097	0.460769739157441	0.569401946464203	1.96493042965782	0.836592468209986	0.579189746361762	0.42430635141803	0.992243311412467	0.758516414297245	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106015121071017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.358632233142224	0	0	0	0	0	0	0	0	
24	9.1999133936884	2.74660813996167	0.536017958380938	1.69567581712648	1.48182343321837	0.594987985260471	0.893362385784135	0.940265215630885	2.00031790506663	1.28524065859098	1.811257121293	3.27194256477835	1.47636960715363	0.26615392976256	0.324326601929126	2.00990045125944	0	0	0	0	0	0	0	0	0	0	0	0	0.123012037586323	0.0164616499075372	0	0	0	0.312109014450703	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.269058339469556	0	0	0	0.206471151872407	0	0	0	0	0	0	0	0	0	
25	9.19994267137931	2.51933363822555	0.668981767637999	1.49701299868477	1.46364267481131	0.774132495609509	0.968835235179831	0.726608601425174	0.533682884005677	0.927467122063994	2.06040216455094	5.11425697754121	2.5912620994888	0.290167528775418	1.00458837531509	1.61750368078529	0	0	0	0	0	0	0	0	0	0	0	0	0.202184285174083	0	0	0	0	0.219989309897736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128278854363073	0	0	0	0	0	0	0	0	0	
26	9.19992241497389	1.54784828994657	0.708366248597361	1.38483819444262	0.989940636879596	0.632245384244416	0.900690460053276	1.35539917379453	1.25828967144797	1.52343751645103	2.54278133523437	3.23403875282788	0.73047346763277	0.490981277019756	0.795402315969751	0.768024927309357	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.169279796898746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
27	9.19991910953633	1.80806259611618	0.270236618908389	1.75438182908612	1.46292223848679	4.08254555714358	1.31518300550195	2.93559504003928	4.6356454512126	2.28473814655163	3.15982518040478	5.36558247195953	4.1050911286133	1.00056509750338	2.85308037615828	1.95188963205384	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.765682552393046	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144835694951292	0	0	0	
28	9.19994843933622	2.14760537175368	0.253602621585575	1.92919288423586	1.89961369722588	1.66941900846214	1.17339507647234	1.59045796234874	3.19222939397914	1.4981745335735	1.45475729791261	1.15925715612851	3.34751358089264	0.570413738779903	1.12994879439365	2.3732942683348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.508264167739662	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
29	9.19994529230166	1.94303983059104	1.05278660853048	1.51095066184546	1.33463438893458	0.853370851694101	0.981797253205841	0.900324021671647	0.948180070809189	0.572060882985911	0.827791195345734	1.79037862090659	1.21697091587514	0.586386713442374	0.466407624543274	1.01098282993947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.239995736118306	0	0	0	0	0	0	0.3448806736204	0	0	0	0	0	0	0	0	
30	9.19993154332612	2.27781107694923	0.938661412826082	1.24772100304797	1.04233921927429	0.522481082463808	0.776311386338627	0.444921679723962	0.462877341945859	0.742076774800032	1.66932384254668	1.43941230955563	0.53102026685596	1.21599773874794	2.60889235256908	0.852454569856432	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.442486873464326	0	0	0.00191594494420895	0	0	0	0	0	0	0	0	0	0.44066936252886	0	0	0	0	0	0	0	0	0	0	0.0483109369491298	0	0	0.289440843819335	0	0	0	0	0	0	0	0	
31	9.19993969637436	2.4336215672879	1.09471895036525	1.22877953367006	1.21738282314172	1.44001029693743	0.930463166767468	0.816660275131868	0.405194310379444	1.18335558840989	2.17559047649156	1.27307411675017	2.03008711837271	1.55453038177077	0.800526878975247	1.55631729686773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.312518830327786	0	0	0	0	0	0	0.161372755068187	0	0	0	0	0	0	0.177549482841761	0	0	0.0206157602662937	0	0	0	0	0	
